n1,n2,n3,hierarquia_1,hierarquia_2,hierarquia_3,hierarquia_4,flag_fraude,tipo_de_tag
intent,Failure,wb-fail,Assunto não identificado,Assunto não identificado,Assunto não identificado,Falha no willbert,Sim,Problema
intent,indeterminavel,wb-ind,Assunto não identificado,Assunto não identificado,Assunto não identificado,Falha no willbert,Sim,Problema
intent,No match de intent,wb-intnm,Assunto não identificado,Assunto não identificado,Assunto não identificado,Falha no willbert,Sim,Problema
intent,No match,wb-nm,Assunto não identificado,Assunto não identificado,Assunto não identificado,Falha no willbert,Sim,Problema
,,n3 - alteracao_e-mail,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
,,n3 - alteracao_telefone,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
,,n3 - alterar_endereco,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
,,n3 - atualizacao_cadastral,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
,,n3 - nome_incompleto,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - solicitacao,w2 - cadastro,w3 - alterar endereco cadastro,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - duvida,w2 - cadastro,w3 - como alterar renda,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Dúvida
w1 - solicitacao,w2 - cadastro,w3 - alterar cadastro outros,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Dúvida
w1 - solicitacao,w2 - cobranca,w3 - alteracao endereco cliente em atraso,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - duvida,w2 - proposta,w3 - duvidas cadastro web,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Dúvida
w1 - solicitacao,w2 - cobranca,w3 - alteracao cadastral cliente em atraso outros,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - problema,w2 - cadastro,w3 - erro alterar cadastro no app,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Reclamação
w1 - solicitacao,w2 - cadastro,w3 - alterar email cadastro,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Dúvida
w1 - solicitacao,w2 - cadastro,w3 - alterar telefone cadastro,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - problema,w2 - proposta,w3 - erro inserir data de nascimento,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Problema
w1 - solicitacao,w2 - cadastro,w3 - alterar nome cadastro,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Dúvida
w1 - duvida,w2 - institucional,w3 - cadastro positivo,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Dúvida
w1 - solicitacao,w2 - atendimento,w3 - declaracao titularidade,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - problema,w2 - atendimento,w3 - email nao cadastrado,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - solicitacao,w2 - atendimento,w3 - email sem informacao,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - solicitacao,w2 - cadastro,w3 - alterar telefone,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - solicitacao,w2 - cadastro,w3 - alterar email,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - solicitacao,w2 - cobranca,w3 - alteracao telefone cliente em atraso,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
,,n3 - declaracao titularidade,Cartão,Aprovação,Aprovação,Alteração de Cadastro,Não,Solicitação
w1 - solicitacao,w2 - proposta,w3 - alterar telefone proposta,Cartão,Aquisição,Aquisição,Alteração de Cadastro na Proposta,Não,Solicitação
w1 - solicitacao,w2 - proposta,w3 - alterar email proposta,Cartão,Aquisição,Aquisição,Alteração de Cadastro na Proposta,Não,Dúvida
,,n3 - confirmar_endereco,Cartão,Ativação,Ativação,Alteração de endereço,Não,Solicitação
w1 - solicitacao,w2 - logistica,w3 - alterar endereco envio,Cartão,Ativação,Ativação,Alteração de endereço,Não,Problema
bot,,b3 - alterar endereco envio,Cartão,Ativação,Ativação,Alteração de endereço,Não,Problema
intent,alteracoes - endereco,wb-acle,Cartão,Ativação,Ativação,Alteração de endereço,Não,Solicitação
intent,alteracoes - email,wb-ae,Cartão,Ativação,Ativação,Alteração de endereço,Não,Solicitação
intent,alteracoes - multiplas,wb-am,Cartão,Ativação,Ativação,Alteração de endereço,Não,Solicitação
intent,alteracoes - telefone,wb-at,Cartão,Ativação,Ativação,Alteração de endereço,Não,Problema
,,n3 - alterar_senha_app,Cartão,Conta,Conta,Alteração de senha do app,Não,Solicitação
