id_conversation,ingestion_date,ds_comentario,sent_predito_1,flag_negativo,flag_positivo,sent_predito_final
399047,2023-09-29 16:47:45.401,ótimo ,2,0,1,2
400910,2023-09-29 16:47:45.401,excelente atendimento luiza❤,0,0,0,0
400624,2023-09-29 16:47:45.401,como que eu faço para voltar meu cartão,1,0,0,1
400771,2023-09-29 16:47:45.401,bom,2,0,0,2
400884,2023-09-29 16:47:45.401,ótimo atendimento. ,0,0,1,0
400803,2023-09-29 16:47:45.401,Demorou muito para responder as mensagens,1,0,0,1
383021,2023-09-29 16:47:45.401,Queria mudar o meu contato ainda ,1,0,0,1
402502,2023-09-29 16:47:45.401,muito atendiosa e resolveu o problema ,2,0,0,2
348052,2023-09-29 16:47:45.401,amei o atendimento !,0,0,0,0
347268,2023-09-29 16:47:45.401,demora muito pra responder o cliente ,0,0,0,0
347765,2023-09-29 16:47:45.401,uma demora danada e quando entrão no chat esse app não notifica. horrível atendimento no chat,0,0,0,0
341672,2023-09-29 16:47:45.401,Demora muito pra responder e não consigo chegar onde eu quero chegar ,0,0,0,0
349487,2023-09-29 16:47:45.401,"bem explicativa, atenciosa. ",2,0,0,2
562838,2023-10-11 02:19:08.960,um excelente atendimento não deixar esperado muito excelente trabalho nota 10,2,0,0,2
308661,2023-10-11 02:19:08.960,paguei minha fatura porque meu limite nao voltou,1,0,0,1
248309,2023-09-29 16:47:45.401,péssimo ,0,0,0,0
247306,2023-09-29 16:47:45.401,demora muito pra nós atender,0,0,0,0
251955,2023-09-29 16:47:45.401,Ótimo ,2,0,0,2
220389,2023-09-29 16:47:45.401,"Muito bom, Vcs são De mais, Gostei muito ☀️😊",2,0,0,2
345706,2023-09-29 16:47:45.401,não resolveu ,1,0,0,1
346650,2023-09-29 16:47:45.401,excelente atendimento ,2,0,0,2
344881,2023-09-29 16:47:45.401,balístico. O BRABO. da um aumento pro cara.,1,0,0,1
343844,2023-09-29 16:47:45.401,Muito bom atendimento. Super rápido e ainda resolveu meu problema.,2,0,0,2
343937,2023-09-29 16:47:45.401,Atendimento excelente! ,2,0,0,2
344987,2023-09-29 16:47:45.401,Francisco continuou o atendimento anterior... vou responder as novas perguntas dele,1,0,0,1
346913,2023-09-29 16:47:45.401,excelência em atendimento ,0,0,0,0
324627,2023-09-29 16:47:45.401,péssimo atendimento,0,0,0,0
327650,2023-09-29 16:47:45.401,"UMA MERDA!

estou tentando resolver uma questão de uma acordo que fiz e paguei no mes de abril . e agora estão me cobrando uma fatura de rs 458.
",0,0,0,0
335105,2023-09-29 16:47:45.401,foi bom....,2,0,0,2
332558,2023-09-29 16:47:45.401,"aguardei por mais de duas horas e não esperaram meu retorno, não apareceu notificação que eu havia sido respondida",0,0,0,0
335190,2023-09-29 16:47:45.401,nada,0,0,0,0
255586,2023-09-29 16:47:45.401,O melhor atendimento que já tive,0,0,0,0
255637,2023-09-29 16:47:45.401,22 dias para tentar resolver sobre uma compra que nitidamente levei um golpe. E o Will demorou esse tempo todo para colocar em análise e nem sei se vai ser aprovado. Vou aguardar o prazo de 5 dias do estorno no cartão se não obtiver o estorno vou tentar os meios legais. ,0,0,0,0
255759,2023-09-29 16:47:45.401,Will é 10.,1,0,0,1
247657,2023-09-29 16:47:45.401,Atendimento maravilhoso ,0,0,0,0
255798,2023-09-29 16:47:45.401,ótimo ,2,0,1,2
329261,2023-09-29 16:47:45.401,atendimento não realizado pelo chat ... demora muito para dar feedback,0,0,0,0
334757,2023-09-29 16:47:45.401,atendimento franco ,0,0,0,0
333961,2023-09-29 16:47:45.401,muito bom e esclarecedor ,2,0,0,2
396080,2023-09-29 16:47:45.401,Otimo atendimento! ,0,0,0,0
