id_cliente|ingestion_date|ds_avaliacao|sent_predito_1|flag_negativo|flag_positivo|sent_predito_final|tipo_msg_predito|sentimento_predito
6758705a-caed-4afe-bf33-5ee81f83c05d|2023-10-29 19:35:10|Muito prático|2|0|0|2|2. Duvida|2. Positivo
b84eb0d0-c9e6-4f9f-813c-6569e20c090d|2023-11-16 15:21:35|Bom atendimento|2|0|0|2|1. Solicitacao|2. Positivo
|2022-05-02 22:39:03|Agilidade e eficiência|1|0|0|1|2. Duvida|1. Neutro
dae57cce-a91e-440c-bbfa-c98d69e2321c|2022-05-12 19:25:24|Importante|1|0|0|1|2. Duvida|1. Neutro
|2023-10-29 11:17:27|Muito prático e seguro amei sem dúvidas|2|0|0|2|2. Duvida|2. Positivo
|2023-10-24 13:31:51|Otimo|1|0|0|1|2. Duvida|1. Neutro
|2023-11-27 12:57:16|Todas as facilidades encontradas na hora de usar o meu cartão.|1|0|0|1|2. Duvida|1. Neutro
a47bbaf9-d847-4909-8e52-1be185b83eb2|2022-01-05 13:24:15|A rapidez|1|0|0|1|2. Duvida|1. Neutro
af2e0b6f-a601-4557-930b-21a7f11edf17|2022-10-19 18:39:24|Aumentar meu limite|1|0|0|1|2. Duvida|1. Neutro
|2023-08-04 17:49:45|👍|1|0|0|1|2. Duvida|1. Neutro
|2023-06-17 07:53:51|Obrigada pela excelência no atendimento.|2|0|0|2|0. Problema|2. Positivo
b0533533-2278-4609-9aed-e14cdee6d11a|2023-05-12 22:48:35|Excelente|2|0|0|2|2. Duvida|2. Positivo
df17d2fb-46e4-49c8-884a-ba52a076fab3|2022-07-26 19:33:40|Liberou rapido!!|1|0|0|1|0. Problema|1. Neutro
|2023-07-15 14:31:10|Muito bom|2|0|0|2|2. Duvida|2. Positivo
e67e7215-76a0-40df-b492-f7dff2e63356|2023-05-26 11:44:39|Muito bom|2|0|0|2|2. Duvida|2. Positivo
47554210|2022-12-28 19:53:33|Min da ma limites|1|0|0|1|0. Problema|1. Neutro
85624b45-52b2-4d02-a09f-da7451520d6c|2022-07-27 08:46:40|Cartão ótimo|2|0|1|2|2. Duvida|2. Positivo
533a8194-42d5-4a8f-959f-f814147e03e8|2023-02-24 18:16:57|Obrigado|2|0|0|2|2. Duvida|2. Positivo
|2023-02-25 12:05:44|Ele é muito bom .e aceita em qualquer lugar.|2|0|0|2|2. Duvida|2. Positivo
fd7ff1e0-cfd1-4a9b-96f8-e0e960006822|2023-07-03 12:28:31|Limite baixo|1|0|0|1|2. Duvida|1. Neutro
|2023-06-16 13:29:45|eficaz|1|0|0|1|2. Duvida|1. Neutro
|2022-05-13 11:10:26|É rápido e fácil. Super indico. Agora só aguardar chegar o cartão. Obrigaduuuuuu|1|0|0|1|2. Duvida|1. Neutro
|2023-10-18 19:17:10|Atendimento excelente|2|0|0|2|1. Solicitacao|2. Positivo
