ferramenta,taxa_abertura,flag_cobranca,flag_emoji,flag_exclamacao,flag_dinheiro,flag_fatura,flag_limite,flag_cashback,flag_nome,n_palavras,sentiment,sentimento,adjective,adposition,adverb,auxiliary,coordinating conjunction,determiner,interjection,noun,numeral,other,pronoun,proper noun,punctuation,space,subordinating conjunction,symbol,verb,cluster_hero,cluster_dbscan,cluster_dbscan_tsne,ano,dia,mes,dia_semana,hora
Infobip,0.26412451636235046,0,0,0,0,0,0,0,0,4,0.0,neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0,0,2023,23,5,Tuesday,18
Infobip,0.23496038791599388,0,0,0,1,1,0,0,0,7,0.0,neutro,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0,0,1,2023,30,4,Sunday,18
Infobip,0.21876260344157977,0,0,0,0,1,0,0,0,7,0.0,neutro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0,0,2,2023,26,4,Wednesday,18
Infobip,0.30200156617974727,0,0,0,0,0,1,0,0,2,0.0,neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12,0,3,2023,10,5,Wednesday,20
Infobip,0.2661710891690594,0,0,1,0,1,0,0,0,3,0.0,neutro,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,4,2023,21,5,Sunday,12
Infobip,0.15198271953291456,0,0,0,0,0,0,0,0,3,0.0,neutro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,5,2023,11,4,Tuesday,18
Infobip,0.18583066108375504,0,0,1,0,0,0,0,0,3,0.25,neutro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,2,2023,27,5,Saturday,18
Infobip,0.2526528918813506,0,0,0,0,0,1,0,0,6,0.2023,ruim,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8,0,6,2023,18,5,Thursday,22
Infobip,0.31114686356862215,0,1,0,0,0,1,0,0,3,0.0,neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,14,0,7,2023,29,5,Monday,22
Infobip,0.23194908952161436,0,0,1,1,1,0,0,0,8,0.0,neutro,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0,0,2,2023,1,3,Wednesday,18
Salesforce,0.26339423598804135,0,0,0,0,1,0,0,0,4,0.0,neutro,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,1,2023,17,4,Monday,18
Infobip,0.36755558405628486,0,1,0,0,0,1,0,0,5,0.0,neutro,42.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,14,0,7,2023,16,3,Thursday,16
Infobip,0.259114082436739,0,0,0,0,1,0,0,0,6,0.0,neutro,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,0,0,8,2023,30,3,Thursday,14
Infobip,0.22986404344356032,0,1,1,0,0,0,0,0,9,0.0,neutro,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,6.0,6,0,6,2023,27,3,Monday,12
Infobip,0.2900523560209424,0,0,0,0,0,1,0,0,2,0.0,neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12,0,3,2023,13,4,Thursday,18
Infobip,0.21641092108358598,0,0,1,0,0,0,0,0,5,0.0,neutro,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,6,0,6,2023,10,3,Friday,17
Salesforce,0.4370822471759909,0,0,1,0,1,0,0,0,9,0.0,bom,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0,0,2,2023,19,4,Wednesday,15
