dt_mes,hierarquia_1,hierarquia_4,clientes_cx,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados
2023-06-01,Cartão,Não entendimento fatura,5243,1235,182,150,R$ 152.835,R$ 477.251,"34,6"
2023-01-01,Fraude,Token SMS,67,6,2,2,R$ 836,R$ 4.136,"35,5"
2023-01-01,Conta,Vencimento fatura,147,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Assunto não identificado,Assunto não identificado,3955,4878,3722,134,R$ 96.347,R$ 203.342,"33,4"
2023-04-01,Cartão,Lançamentos duplicados,176,127,77,4,R$ 2.889,R$ 8.357,"34,6"
2023-03-01,Conta,Dúvidas Conta,515,84,10,9,R$ 10.264,R$ 7.166,"36,8"
2023-02-01,Cartão,Token SMS,185,34,3,3,R$ 2.565,R$ 1.107,"36,8"
2023-04-01,Marketplace,Problemas com a compra,38,7,7,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketplace,Resultado da Proposta,21,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Conta,Informações sobre fatura,103,11,2,2,R$ 600,R$ 470,"34,0"
2023-02-01,Conta,Não reconhecimento de PIX,123,28,3,3,R$ 1.984,R$ 1.153,"33,4"
2023-01-01,Crédito Pessoal,Dúvidas FGTS,324,66,14,14,R$ 18.366,R$ 36.994,"36,8"
2023-04-01,Conta,Aquisição de Crédito,116,394,394,0,R$ 0,R$ 0,"0,0"
2023-03-01,Cartão,Bloqueio de conta,65,21,1,1,R$ 1.530,R$ 760,"63,9"
2023-03-01,Fraude,Gestão de Extrato,7,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Uso do cartão de débito,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Tecnologia,Primeiro Desbloqueio de cartão,23,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Token 3DS,10,2,2,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Novos Produtos,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Tecnologia,Token SMS,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Atendimento,Chat duplicado,30,23,23,1,R$ 360,R$ 272,"33,4"
2023-04-01,Crédito Pessoal,Primeiro Desbloqueio de cartão,2,3,3,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketplace,Recebimento de PIX,18,5,3,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketplace,Fechamento Fatura,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Fraude,Antecipação de Fatura,7,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Crédito Pessoal,Faturas futuras,5,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Token E-mail,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Conta,Desbloqueio de cartão,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Parcelamento de compra,2,1,1,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Gestão de Saque,7,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketing,Gestão do Bolso/Rendimento Conta,2,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketing,Uso do cartão de débito,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketing,Token SMS,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketplace,Token SMS,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketplace,Wallet,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Gerar fatura,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Pagamento de Boleto,9,3,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Atendimento,Chat duplicado,25,3,1,1,R$ 600,R$ 5.958,"24,4"
2023-06-01,Crédito Pessoal,Dúvidas sobre campanha gamificação,23,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Cartão,Parcelamento de compra,261,89,7,6,R$ 11.827,R$ 5.243,"36,8"
2023-05-01,Tecnologia,Reenvio de cartão,38,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Tecnologia,Problemas com a compra,101,6,1,1,R$ 360,R$ 1.623,"36,8"
2023-06-01,Cartão,Contactless,1006,178,16,15,R$ 23.513,R$ 10.984,"39,8"
2023-05-01,Marketplace,Dúvidas Marketplace,72,14,2,1,R$ 500,-R$ 67,"33,4"
2023-03-01,Conta,Boleto de Depósito,290,71,2,1,R$ 1.325,-R$ 48,"28,4"
2023-05-01,Tecnologia,Erro acessar app,734,217,29,24,R$ 19.210,R$ 19.053,"35,9"
2023-03-01,Conta,Não reconhecimento de recarga/título/ted,64,19,3,3,R$ 1.780,R$ 132,"31,2"
2023-03-01,Tecnologia,Member Get Member (MGM),8,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Atendimento,Assunto não identificado,72,12,3,3,R$ 3.607,R$ 1.267,"47,1"
2023-05-01,Cartão,Chat sem retorno,37,3,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Cancelamento de conta will,213,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Não entendimento fatura,9,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Tecnologia,Gestão de Saque,15,2,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Crédito Pessoal,Informações sobre fatura,15,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Resultado da Proposta,36,2,2,0,R$ 0,R$ 0,"0,0"
2023-01-01,Conta,Cancelamento de conta,10,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Cartão,Canais de atendimento,15,3,1,1,R$ 360,-R$ 104,"39,8"
2023-04-01,Fraude,Envio de PIX,24,7,6,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketing,Envio de PIX,11,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Token SMS,8,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Fraude,Gestão de Extrato,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Riscos 2 nivel,Token E-mail,4,1,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Conta,Lançamentos duplicados,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Tecnologia,Gerar fatura,19,3,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Crédito Pessoal,Faturas futuras,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Chaves PIX,5,5,5,0,R$ 0,R$ 0,"0,0"
