,,spending_dia_sim,spending_dia,impacto
,,sum,sum,sum
ano,mes,,,
2020,12,574323880.8400308,524288971,65331201.840030745
2021,01,545579345.4186218,477703700,67875645.41862181
2021,02,507508352.3117147,460435701,47072651.31171472
2021,03,619298248.6199132,542762185,76536063.61991328
2021,04,632079692.954152,558128979,73950713.95415199
2021,05,764939210.2904664,668513956,96425254.29046643
2021,06,689061930.9919691,617511372,71550558.99196914
2021,07,692000042.1994605,629633464,62366578.199460536
2021,08,702649645.8759186,627940900,74708745.8759186
2021,09,668239793.0462708,602273107,65966686.04627079
2021,10,776154972.8706503,697450740,78704232.87065029
2021,11,918913227.0885957,823271564,95641663.08859573
2021,12,982504162.6630437,890438714,92065448.66304374
2022,01,962674248.2873601,829424722,133249526.28736004
2022,02,873733160.8084569,798407113,75326047.80845696
2022,03,999589727.0221521,896873914,102715813.02215211
2022,04,1007986435.980785,890144804,117841631.98078506
2022,05,1104128572.8671403,981573361,122555211.8671403
2022,06,1068347208.1559392,968368890,99978318.1559392
2022,07,1105372818.252213,1009025144,96347674.25221312
2022,08,1221384390.432065,1092940964,128443426.43206508
2022,09,1134318695.4130542,1018437013,115881682.41305423
2022,10,1248615625.8038883,1102718441,145897184.80388838
2022,11,1477911463.2389092,1331531989,146379474.23890927
2022,12,1543244889.4148755,1386964247,156280642.4148756
2023,01,1506176637.2646627,1290631026,215545611.2646627
2023,02,1329162258.423532,1220842846,108319412.42353195
2023,03,1595639407.2429633,1453613626,142025781.2429633
2023,04,1581596297.2849486,1420465182,161131115.2849486
2023,05,1867814467.9402816,1672554234,195260233.94028157
2023,06,1908515215.5580196,1699267574,209247641.55801955
2023,07,532411548.3711448,482272667,50138881.37114479
