,,,,,,,,
,,,,,,,,
,Dados,dt_mes_true,,,,,,
,Média - valor incremental bruto,,,Média - LTV Receita Valor_base,,,Total Média - valor incremental bruto,Total Média - LTV Receita Valor_base
hierarquia_4,2023-01-01,2023-02-01,2023-03-01,2023-01-01,2023-02-01,2023-03-01,,
Alteração de Cadastro,"28463,5465479022","32238,746289596","26387,4381470265","98972,8434943699","79139,7906478754","136211,274137413","29029,910328175","104774,636093219"
Alteração de endereço,"617,295734886817",,"5004,84476332663","28,027397260274",,"324,816770543046","2530,35028757148","157,433190350392"
Alteração de senha do app,"2392,89520674834","1429,73296081745","2464,48681124351","601,354975862119","1121,44278830043","2302,79875513196","2082,58117824962","1328,95092675201"
Alteração de senha do cartão,"3764,18741259376","6626,47743530735","2560,55681279835","1110,51136586147","2115,41409930665","2163,50832389443","4339,45629475373","1792,89748237693"
Antecipação de Fatura,"10842,9288224398","14135,206977871","11254,0279565071","7427,11780924362","13322,0969394908","19645,4500026905","12077,3879189393","13464,888250475"
Apple pay,"490,571125114117",,,0,,,"490,571125114117",0
Assunto não identificado,"4901,19893806299","7244,83199837859","13897,6021980245","8340,64832064411","16323,7028733328","40838,5556964035","8683,73273401934","21843,3040672913"
Atendimento de terceiros,"1499,11268258801","1893,71622017986","2391,68654124082","4856,11210830565","395,751359036021","1065,00518194263","1925,23548200231","2244,74748401492"
Atraso de entrega,100,,,"487,437983999999",,,100,"487,437983999999"
Aviso viagem,,"1171,99745241626","1405,05523288026",,"2004,92552815263","1474,26879730712","1281,29351497869","1756,06581989404"
Bloqueio de conta,"652,143948259941","1037,51881472991",,"-218,099487011169","51,9956679841898",,"789,149841852876","-122,077064988104"
Bloqueio de senha,"9206,60717101262","8509,14238751051","8499,25511234751","23165,9256080451","14929,4203990205","15016,8149001345","8738,17874748237","17702,2324046655"
Boleto de Depósito,"925,185755918787","1762,47365673484","1822,30725124942","608,090011301406","-291,476489959027","105,363757355735","1534,09730096654","38,1337455507688"
Canais de atendimento,"1598,48734333827","1839,21972530839","2781,05850434194","-1947,18042361127","456,150120194286","16082,4329263785","2091,32192644154","5244,04466048501"
Cancelamento de compra no crédito,"45956,5333477098","38373,3640825781","34378,068696015","41778,799954616","22508,7930031476","2632,18305730025","39569,322042101","22306,5920050213"
Cancelamento de conta,"44587,0844271281","41111,9555493025","37712,9847755156","41802,3164361646","32401,1857666739","61323,5764657506","41137,3415839821","45175,6928895297"
Cancelamento de conta will,100,,,"3,26068522314053",,,100,"3,26068522314053"
Cartão adicional,"2641,43931642054","1299,80320117902","624,992280066291","1771,02880997539","207,977003217409","1603,99875050087","1820,53910881697","1408,0190741037"
Cartão black,"3479,03647069893","11564,3596688224",,"239,354838709678","9269,15974193547",,"7540,8576034055","4775,65493227335"
Cartão virtual,"2627,16732537403","1586,69955635926","2172,86963989778","1880,41133873983","1197,90619384562","1002,15157843169","2136,58324416754","1352,36268782356"
Cashback,,"2091,49054263271","1404,83848129106",,"-30,9748490270132",0,"1958,42816877126","-24,9724102758918"
Chat duplicado,,"933,511553403995","3822,23836276228",,"37,7362885245902","51044,4787827418","2834,95198488034","33611,7946391486"
Chat sem retorno,"14344,6559927894","13177,2822064835","14160,9508713993","70680,2091445273","51380,4827562439","45949,3282543997","13894,2963568907","56003,3400517237"
Chaves PIX,"1739,12231084239","1135,73714965379","1565,8661699556","6016,55889846367","-3,51474788511729","2223,95391215101","1540,36929392459","3283,96041876384"
Compensação fatura,"15903,6627508395","30816,8043754494","31690,9603413888","57957,5044471786","141385,629767092","239513,055324401","26137,1424892259","146285,39651289"
Compra internacional,"873,281919344569","2320,88942114208","981,621532666122","160,562283962207","5145,31752325998","19594,04121512","1297,93078818545","12601,9053306291"
Consulta Saldo,,"1515,96840169544",,,"182,018543046357",,"1515,96840169544","182,018543046357"
Contactless,"2890,30953478046","1408,11359428328","1473,27902327952","1805,48869982263","122,701140336946","15619,5156531715","1891,6057422702","6239,32742235895"
Custódia,"1603,9132254313","2365,84249745574","2433,72879192165","3774,21188505249","120,668654152988","4613,2550068931","2133,74318750313","2805,47845018041"
Desbloqueio de cartão,"3493,68579508602","3216,17805999248","3191,20062062159","1409,52235380735","3320,79102318471","15665,6720975832","3297,86129877746","6968,05044519792"
Devolução,"786,454503602229","845,953632497235","1163,67267793682","5852,27748141174","-29,8569404528453","5789,68607349843","926,92459269023","4000,78092566067"
Dúvidas campanha,"2905,71206927561","4346,38602743988","2195,78662299374","22827,1460652182","8652,91796358613","8199,26391272335","3193,96841835918","14942,1449334028"
Dúvidas Conta,"1973,25867521512","1484,52604259302","2597,57198132658","-2725,8746413533","1084,28181798061","1227,44005934584","2049,24909909819","-84,7520865141282"
Dúvidas em lançamentos,"2697,97137400295","4884,39631656253","3004,59636448319","1120,74471887306","5563,29069342858","2634,13186950922","3566,51430217855","3171,18295060333"
Dúvidas FGTS,"2357,5827064489","992,855298787928","1968,26558046314","5124,70513138766","2848,4167157669","4533,59708495239","1811,37606690116","4234,51662450649"
