,id_customer,nr_acessos,rentabilidade_credito,receitas,rentabilidade_conta
,count,sum,sum,sum,sum
qtd_cat_real,,,,,
0,2742454,4206711,2548.3381600000025,52485.043450000005,-4009389.6086981986
1,228437,1520187,-3935460.208804,1060273.27158,-117949.6204696023
2,141347,2606915,-1150935.428091,737799.82212,-484432.522174502
3,144643,3761045,-646617.385685,980699.90246,-289123.83116038365
4,140720,4597317,-501623.4933469999,1167168.85978,-126017.14005622109
5,147776,5617764,-330192.40995099995,1316596.2797100001,-34551.94009365689
6,151108,6444227,-296041.89766099997,1399202.8887,-1090.3370441941618
7,153482,7235141,-368853.2526249999,1513945.43525,-855.3927306456335
8,154701,8060502,-154777.29837599993,1571066.84419,1296.9542425757145
9,156004,8891278,-22356.17660899991,1670981.51275,-300.2184896730554
10,158211,9794108,215479.24518700008,1746945.1625400002,-281.26543048686506
11,159490,10630253,293457.6472490001,1821032.68301,-945.4486569809126
12,159396,11461953,555187.3143310001,1883343.4651600001,-783.5830001480952
13,157714,12121031,775043.8170140001,1923281.5786300001,-681.5540497215078
14,155430,12694680,1084638.9138820001,1970472.42632,-744.0276520201189
15,150820,13035460,1183103.4412190001,1982012.63036,-926.0609859101586
16,143684,13184273,1350916.959178,1965595.46017,-925.0364313073015
17,135161,13058334,1371553.44243,1939805.07392,-409.0198672392062
18,124904,12703665,1499707.1181690001,1882413.27046,-1072.0146167444443
19,114254,12111650,1623814.021709,1792649.9975200002,-685.3650406559126
20,102182,11322068,1740197.8323640001,1679127.1709800002,-390.44690746087286
21,89684,10305139,1699427.7208810002,1564213.79753,-230.51183309841252
22,76255,9091563,1566365.599116,1420968.3053300001,-279.0513412938491
23,64097,7886150,1477630.425212,1277820.11213,-409.338317095992
24,52914,6698971,1319180.1138270001,1111171.1842800002,-9.192973435238029
25,42472,5528087,1216977.90135,951798.93157,1.9743337746032579
26,33247,4443294,1007404.478824,801628.5454200001,189.91108214444455
27,25476,3467728,794530.082916,667639.98435,69.86721503015876
28,18601,2580183,694369.46985,524675.95774,99.05917657619051
29,13452,1901259,514345.92028300004,397121.32207000005,78.34384195833337
30,9720,1404225,421803.042999,315805.89849000005,39.17364416666669
31,6628,965256,324235.851266,232728.93185000002,256.99936450000007
32,4595,671253,245813.907182,176319.90921,-51.268131622222214
33,3011,457458,147213.621935,126690.91548000001,0.0
34,1919,286531,110833.241463,88721.05736,0.0
35,1220,185196,70042.330358,58781.45139,0.0
36,753,115590,43607.049014000004,40740.131010000005,0.0
37,479,76745,35939.958038000004,28403.510980000003,0.0
38,292,48220,21662.718235,18073.23731,0.0
39,167,27775,12145.775601,10873.985400000001,0.0
40,100,17089,11244.177248,5937.66922,0.0
41,52,9269,3919.89352,3956.3859,0.0
42,28,4687,1649.583648,2381.73266,0.0
43,15,2458,1080.4238720000003,2266.1082400000005,0.0
44,11,1984,1664.7122720000002,1429.6437400000002,0.0
45,5,817,438.267584,996.1955300000001,0.0
46,5,1115,612.5054559999999,842.3087699999996,0.0
48,1,174,297.1411200000001,735.8779000000003,0.0
49,1,202,271.49263999999994,389.8237999999999,0.0
51,1,179,475.094048,292.44440999999995,0.0
53,1,127,89.30824,223.63205,0.0
58,1,211,1154.996624,1543.98233,0.0
