,flag_mgm,flag_mgm
,mean,count
segmento_v1,,
AAAAAAAA,0.0,10304
AAAAAAAB,0.0,3561
AAAAAABA,2.5713551041398816e-05,38890
AAAAAABB,0.0,9799
AAAAABAA,0.0,54
AAAAABAB,0.0,31
AAAAABBA,0.0,206
AAAAABBB,0.0,93
AAAAACAA,0.0,12
AAAAACAB,0.0,6
AAAAACBA,0.0,188
AAAAACBB,0.0,44
AAAABAAA,0.0002680246582685607,3731
AAAABAAB,0.0,896
AAAABABA,0.0,10297
AAAABABB,0.0,2134
AAAABBAA,0.0,38
AAAABBAB,0.0,15
AAAABBBA,0.0,79
AAAABBBB,0.0,44
AAAABCAA,0.0,2
AAAABCBA,0.0,17
AAAABCBB,0.0,2
AAAACAAA,0.0,15
AAAACAAB,0.0,2
AAAACABA,0.0,46
AAAACABB,0.0,5
AAAACCBA,0.0,1
AAABAAAA,0.0,293
AAABAAAB,0.0,154
AAABAABA,0.0,770
AAABAABB,0.0,268
AAABABAA,0.0,7
AAABABAB,0.0,4
AAABABBA,0.0,11
AAABABBB,0.0,9
AAABACBA,0.0,10
AAABACBB,0.0,2
AAABBAAA,0.0,200
AAABBAAB,0.0,68
AAABBABA,0.0,400
AAABBABB,0.0,111
AAABBBAA,0.0,9
AAABBBAB,0.0,6
AAABBBBA,0.0,8
AAABBBBB,0.0,9
AAABBCBA,0.0,2
AAABCAAA,0.0,2
AAABCABA,0.0,3
AAABCABB,0.0,1
AABAAAAA,0.0,2393
AABAAAAB,0.0,1239
AABAAABA,0.00016739203213927018,5974
AABAAABB,0.0,2656
AABAABAA,0.0,410
AABAABAB,0.0,355
AABAABBA,0.0,843
AABAABBB,0.0,652
AABAACAA,0.0,1
AABAACAB,0.0,1
AABAACBA,0.0,10
AABAACBB,0.0,7
AABABAAA,0.0,6857
AABABAAB,0.0,3054
AABABABA,0.0,15883
AABABABB,0.0,6663
AABABBAA,0.0,1115
AABABBAB,0.0,897
AABABBBA,0.0,2315
AABABBBB,0.0,1800
AABABCAA,0.0,2
AABABCAB,0.0,3
AABABCBA,0.0,38
AABABCBB,0.0,38
AABACAAA,0.0,146
AABACAAB,0.0,76
AABACABA,0.0,306
AABACABB,0.0,160
AABACBAA,0.0,30
AABACBAB,0.0,25
AABACBBA,0.0,65
AABACBBB,0.0,43
AABACCBB,0.0,2
AABBAAAA,0.0,412
AABBAAAB,0.0,241
AABBAABA,0.0,858
AABBAABB,0.0,449
AABBABAA,0.0,109
AABBABAB,0.0,91
AABBABBA,0.0,205
AABBABBB,0.0,167
AABBACBA,0.0,3
AABBACBB,0.0,1
AABBBAAA,0.0,1571
AABBBAAB,0.0,839
AABBBABA,0.0,3134
AABBBABB,0.0,1513
AABBBBAA,0.0,480
AABBBBAB,0.0,338
AABBBBBA,0.0,776
AABBBBBB,0.0,602
AABBBCAA,0.0,1
AABBBCAB,0.0,1
AABBBCBA,0.0,17
AABBBCBB,0.0,7
AABBCAAA,0.0,95
AABBCAAB,0.0,53
AABBCABA,0.0,133
AABBCABB,0.0,78
AABBCBAA,0.0,38
AABBCBAB,0.0,21
AABBCBBA,0.0,45
AABBCBBB,0.0,30
ABAAAAAA,0.0,1236
ABAAAAAB,0.0,340
ABAAAABA,0.0,9341
ABAAAABB,0.0,1779
ABAAABAA,0.0,23
ABAAABAB,0.0,12
ABAAABBA,0.0,106
ABAAABBB,0.0,46
