,segmento,n_seg_grupo,n_seg,n_grupo,total,per_grupo_seg,per_grupo_total,diferenca,diferenca_abs,faixa_propensao
3617,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income D ganho_limite flag_limite_insuficiente,58,64,27590,207177,0.90625,0.1331711531685467,0.7730788468314533,0.7730788468314533,3. Grupo com propensão entre 8-14%
3640,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income D ganho_limite flag_limite_insuficiente,55,62,27590,207177,0.8870967741935484,0.1331711531685467,0.7539256210250017,0.7539256210250017,3. Grupo com propensão entre 8-14%
2459,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income D ganho_limite,147,166,27590,207177,0.8855421686746988,0.1331711531685467,0.7523710155061522,0.7523710155061522,3. Grupo com propensão entre 8-14%
3644,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income D ganho_limite flag_limite_insuficiente,92,104,27590,207177,0.8846153846153846,0.1331711531685467,0.7514442314468379,0.7514442314468379,3. Grupo com propensão entre 8-14%
92,- A tempo_aprovacao flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income D ganho_limite,60,68,27590,207177,0.8823529411764706,0.1331711531685467,0.7491817880079239,0.7491817880079239,3. Grupo com propensão entre 8-14%
66,- A tempo_aprovacao flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending C nr_declared_income D ganho_limite,63,72,27590,207177,0.875,0.1331711531685467,0.7418288468314533,0.7418288468314533,3. Grupo com propensão entre 8-14%
2444,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income D ganho_limite,77,89,27590,207177,0.8651685393258427,0.1331711531685467,0.731997386157296,0.731997386157296,3. Grupo com propensão entre 8-14%
8639,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending D nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet,51,59,27590,207177,0.864406779661017,0.1331711531685467,0.7312356264924703,0.7312356264924703,3. Grupo com propensão entre 8-14%
1410,- B tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento C avg_vl_total_spending D nr_declared_income ganho_limite,119,138,27590,207177,0.8623188405797102,0.1331711531685467,0.7291476874111635,0.7291476874111635,3. Grupo com propensão entre 8-14%
2059,- B tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending C nr_declared_income D ganho_limite flag_limite_insuficiente,59,69,27590,207177,0.855072463768116,0.1331711531685467,0.7219013105995693,0.7219013105995693,3. Grupo com propensão entre 8-14%
2146,- B tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento C avg_vl_total_spending D nr_declared_income ganho_limite flag_limite_insuficiente,99,116,27590,207177,0.853448275862069,0.1331711531685467,0.7202771226935223,0.7202771226935223,3. Grupo com propensão entre 8-14%
5408,- B tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento C avg_vl_total_spending D nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet,55,65,27590,207177,0.8461538461538461,0.1331711531685467,0.7129826929852995,0.7129826929852995,3. Grupo com propensão entre 8-14%
8461,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet,60,71,27590,207177,0.8450704225352113,0.1331711531685467,0.7118992693666646,0.7118992693666646,3. Grupo com propensão entre 8-14%
19313,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet nr_trans_mov_conta,53,63,27590,207177,0.8412698412698413,0.1331711531685467,0.7080986881012946,0.7080986881012946,3. Grupo com propensão entre 8-14%
9116,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento D avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet,89,106,27590,207177,0.839622641509434,0.1331711531685467,0.7064514883408873,0.7064514883408873,3. Grupo com propensão entre 8-14%
4678,- C tempo_aprovacao flag_autonomo A dias_atraso B tempo_relacionamento avg_vl_total_spending D nr_declared_income ganho_limite flag_limite_insuficiente,55,66,27590,207177,0.8333333333333334,0.1331711531685467,0.7001621801647867,0.7001621801647867,3. Grupo com propensão entre 8-14%
1355,- B tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending C nr_declared_income D ganho_limite,83,100,27590,207177,0.83,0.1331711531685467,0.6968288468314533,0.6968288468314533,3. Grupo com propensão entre 8-14%
107,- A tempo_aprovacao flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending C nr_declared_income D ganho_limite,111,134,27590,207177,0.8283582089552238,0.1331711531685467,0.6951870557866772,0.6951870557866772,3. Grupo com propensão entre 8-14%
1396,- B tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento C avg_vl_total_spending nr_declared_income D ganho_limite,135,163,27590,207177,0.8282208588957055,0.1331711531685467,0.6950497057271589,0.6950497057271589,3. Grupo com propensão entre 8-14%
