seg_grupos_3,Comprador_Digital_Móvel,Digital_Moderado,Entusiasta_Digital,Gastador_Digital_Estratégico,Outros
"Serasa >654-794 - BVS >699 - Utilizado mercado acima de R$1434 - Renda >R$1315-1660 - Outras Escolaridades - Sem Desaprov ou Outros - FEMALE - PROFISSIONAIS DAS CIÊNCIAS EXATAS, BIOLÓGICAS, HUMANAS E DAS ARTES",0.0,0.0,0.14285714285714285,0.0,0.8571428571428571
"Serasa >654-794 - BVS >699 - Utilizado mercado acima de R$1434 - Renda >R$1315-1660 - Outras Escolaridades - Sem Desaprov ou Outros - MALE - TRABALHADORES DOS SERVIÇOS, VENDEDORES DO COMÉRCIO EM LOJAS E MERCADOS",0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
"Serasa >654-794 - BVS >699 - Utilizado mercado acima de R$1434 - Renda >R$1315-1660 - Segundo grau completo - Sem Desaprov ou Outros - MALE - TRABALHADORES AGROPECUÁRIOS, FLORESTAIS E DA PESCA",0.0,0.0,1.0,0.0,0.0
Serasa >654-794 - BVS >699 - Utilizado mercado acima de R$1434 - Renda >R$1660-1779 - Outras Escolaridades - Sem Desaprov ou Outros - FEMALE - TRABALHADORES DE SERVIÇOS ADMINISTRATIVOS,0.0,0.0,0.5,0.0,0.5
"Serasa >654-794 - BVS >699 - Utilizado mercado acima de R$1434 - Renda >R$1779 - Outras Escolaridades - Sem Desaprov ou Outros - MALE - TRABALHADORES AGROPECUÁRIOS, FLORESTAIS E DA PESCA",0.0,0.0,0.11764705882352941,0.0,0.8823529411764706
Serasa >654-794 - BVS >699 - Utilizado mercado acima de R$1434 - Renda >R$1779 - Outras Escolaridades - Sem Desaprov ou Outros - MALE - TRABALHADORES DE SERVIÇOS ADMINISTRATIVOS,0.0,0.030303030303030304,0.12121212121212122,0.030303030303030304,0.8181818181818182
Serasa >654-794 - BVS >699 - Utilizado mercado acima de R$1434 - Renda >R$1779 - Outras Escolaridades - Sem Desaprov ou Outros - MALE - TÉCNICOS DE NIVEL MÉDIO,0.075,0.025,0.15,0.0,0.75
Serasa >654-794 - BVS >699 - Utilizado mercado acima de R$1434 - Renda >R$1779 - Segundo grau completo - Sem Desaprov ou Outros - FEMALE - DONAS DE CASA,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571
Serasa >654-794 - BVS >699 - Utilizado mercado acima de R$1434 - Renda >R$1779 - Segundo grau completo - Sem Desaprov ou Outros - MALE - APOSENTADOS,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.6923076923076923
"Serasa >654-794 - BVS >699 - Utilizado mercado acima de R$1434 - Renda >R$1779 - Segundo grau completo - Sem Desaprov ou Outros - MALE - MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
