,coef,std err,t,P>|t|,[0.025,0.975]
Intercept,6.2118,0.981,6.33,0.0,4.177,8.247
C(ano)[T.2021],-0.1906,0.221,-0.864,0.397,-0.648,0.267
C(ano)[T.2022],0.2134,0.378,0.564,0.578,-0.571,0.997
C(ano)[T.2023],0.9502,0.461,2.062,0.051,-0.005,1.906
C(mes)[T.02],0.0822,0.269,0.306,0.763,-0.476,0.64
C(mes)[T.03],0.2966,0.246,1.206,0.24,-0.213,0.806
C(mes)[T.04],0.1395,0.222,0.629,0.536,-0.32,0.599
C(mes)[T.05],0.1734,0.14,1.241,0.228,-0.116,0.463
C(mes)[T.06],0.2775,0.142,1.958,0.063,-0.016,0.572
C(mes)[T.07],0.3747,0.217,1.73,0.098,-0.074,0.824
C(mes)[T.08],0.4382,0.217,2.022,0.055,-0.011,0.888
C(mes)[T.09],0.2471,0.156,1.587,0.127,-0.076,0.57
C(mes)[T.10],0.3496,0.173,2.016,0.056,-0.01,0.709
C(mes)[T.11],0.2107,0.249,0.844,0.407,-0.307,0.728
C(mes)[T.12],0.2702,0.192,1.41,0.173,-0.127,0.668
ln_install_mgm,0.4534,0.174,2.604,0.016,0.092,0.815
ln_install_novos_canais,-0.023,0.014,-1.593,0.126,-0.053,0.007
ln_install_midias_sociais,0.0989,0.073,1.352,0.19,-0.053,0.251
flag_will,0.6342,0.321,1.975,0.061,-0.032,1.3
flag_covid,-0.1192,0.209,-0.571,0.574,-0.552,0.314
qtos_domingos,-0.0193,0.081,-0.239,0.813,-0.186,0.148
flag_carnaval,-0.0096,0.259,-0.037,0.971,-0.546,0.527
qt_feriados,0.0459,0.166,0.276,0.785,-0.299,0.391
ipca,-0.0684,0.095,-0.722,0.478,-0.265,0.128
