,coef,std err,t,P>|t|,[0.025,0.975]
Intercept,19.7547,5.58,3.54,0.038,1.995,37.514
C(ano)[T.2023],0.0175,0.268,0.065,0.952,-0.835,0.87
C(mes)[T.02],-0.8826,0.334,-2.642,0.078,-1.946,0.18
C(mes)[T.03],-0.3083,0.314,-0.981,0.399,-1.308,0.692
C(mes)[T.04],-0.327,0.219,-1.492,0.232,-1.024,0.37
C(mes)[T.05],-0.0643,0.108,-0.595,0.593,-0.408,0.279
C(mes)[T.06],0.0886,0.15,0.589,0.597,-0.39,0.567
C(mes)[T.07],0.8692,0.459,1.893,0.155,-0.592,2.331
C(mes)[T.08],0.4939,0.344,1.435,0.247,-0.601,1.589
C(mes)[T.09],0.1528,0.312,0.489,0.658,-0.842,1.147
C(mes)[T.10],0.3426,0.496,0.691,0.539,-1.234,1.92
C(mes)[T.11],0.0142,0.218,0.065,0.952,-0.68,0.709
C(mes)[T.12],0.0478,0.576,0.083,0.939,-1.787,1.882
ln_install_mgm,-1.289,0.435,-2.962,0.059,-2.674,0.096
ln_install_novos_canais,-0.6378,0.144,-4.429,0.021,-1.096,-0.179
ln_install_midias_sociais,0.2687,0.439,0.612,0.584,-1.128,1.666
qtos_domingos,-0.1935,0.127,-1.528,0.224,-0.596,0.209
flag_carnaval,0.202,0.326,0.62,0.579,-0.835,1.239
qt_feriados,0.1145,0.249,0.461,0.676,-0.676,0.905
qt_feriados_ou_comercial,0.0399,0.17,0.235,0.829,-0.5,0.58
