mes_instalacao,install_organico,install_ecred,install_midias_sociais,install_novos_canais,install_repescagem,install_mgm,mes_instalacao_dt,ano,mes,ln_install_organico,ln_install_midias_sociais,ln_install_novos_canais,ln_install_mgm,Date,ipca,igpm,qtos_domingos,flag_carnaval,qt_feriados,qt_feriados_ou_comercial,flag_will,flag_covid
2020-01-01,3263,0,0,0,42,92,2020-01-01,2020,01,8.09040229659332,0.0,0.0,4.5217885770490405,2020-01,0.21,0.48,4,0.0,1,1,0,0
2020-02-01,4186,0,0,0,85,97,2020-02-01,2020,02,8.339500903005945,0.0,0.0,4.574710978503383,2020-02,0.25,-0.04,4,1.0,2,2,0,0
2020-03-01,3996,0,0,0,31,74,2020-03-01,2020,03,8.293049139768444,0.0,0.0,4.30406509320417,2020-03,0.07,1.24,5,1.0,0,1,0,1
2020-04-01,2950,0,0,0,14,50,2020-04-01,2020,04,7.989560449333865,0.0,0.0,3.912023005428146,2020-04,-0.31,0.8,4,0.0,2,3,0,1
2020-05-01,3620,0,0,0,13,78,2020-05-01,2020,05,8.194229304819817,0.0,0.0,4.356708826689592,2020-05,-0.38,0.28,5,0.0,1,2,0,1
2020-06-01,4246,0,0,0,9,70,2020-06-01,2020,06,8.353732642263202,0.0,0.0,4.248495242049359,2020-06,0.26,1.56,4,0.0,1,2,0,0
2020-07-01,5125,0,0,0,11,112,2020-07-01,2020,07,8.54188580400661,0.0,0.0,4.718498871295094,2020-07,0.36,2.23,4,0.0,0,0,0,0
2020-08-01,5395,0,0,0,13,102,2020-08-01,2020,08,8.593227877692234,0.0,0.0,4.624972813284271,2020-08,0.24,2.74,5,0.0,0,1,0,0
2020-09-01,6931,0,0,0,204,145,2020-09-01,2020,09,8.843759381917984,0.0,0.0,4.976733742420574,2020-09,0.64,4.34,4,0.0,1,1,0,0
2020-10-01,124442,0,36242,0,100648,9678,2020-10-01,2020,10,11.731595022884992,10.497973946272102,0.0,9.177610547353265,2020-10,0.86,3.23,4,0.0,1,1,0,0
2020-11-01,297206,34252,74511,0,157040,24551,2020-11-01,2020,11,12.602180780047261,11.218702044475025,0.0,10.10850786559065,2020-11,0.89,3.28,5,0.0,2,5,1,0
2020-12-01,374518,78426,88463,0,46194,27266,2020-12-01,2020,12,12.833395144869817,11.390339664480544,0.0,10.213395783746074,2020-12,1.35,0.96,4,0.0,1,1,1,0
2021-01-01,368777,60094,111483,0,70241,29905,2021-01-01,2021,01,12.81794740429467,11.621627391890419,0.0,10.305780969478658,2021-01,0.25,2.58,5,0.0,1,1,1,0
2021-02-01,315064,43408,174845,0,73685,31695,2021-02-01,2021,02,12.66053107177378,12.071655146143273,0.0,10.363914218718266,2021-02,0.86,2.53,4,1.0,2,2,1,0
2021-03-01,349230,34100,345239,0,36069,43417,2021-03-01,2021,03,12.763486009910396,12.751992209793656,0.0,10.678606348461217,2021-03,0.93,2.94,4,0.0,0,1,1,0
2021-04-01,341741,33058,222328,0,14103,53977,2021-04-01,2021,04,12.741808419199188,12.311909047935938,0.0,10.896313308888274,2021-04,0.31,1.51,4,0.0,2,3,1,0
2021-05-01,363964,27445,308225,0,63995,57565,2021-05-01,2021,05,12.80481024062894,12.638585314736753,0.0,10.960670023107765,2021-05,0.83,4.1,5,0.0,1,2,1,0
2021-06-01,347715,30915,207149,8019,36896,48963,2021-06-01,2021,06,12.759138457703903,12.241193620074151,8.989569004807029,10.798820189818805,2021-06,0.53,0.6,4,0.0,1,2,1,0
2021-07-01,452698,57896,304004,2471,33940,50764,2021-07-01,2021,07,13.022980515477467,12.624796138196531,7.81237820598861,10.834942720930055,2021-07,0.96,0.78,4,0.0,0,0,1,0
2021-08-01,387221,42083,331381,6020,35035,44286,2021-08-01,2021,08,12.866750868451055,12.711024049802361,8.702842538302868,10.698423878998108,2021-08,0.87,0.66,5,0.0,0,1,1,0
